Deity|Title|Alignment|Domains|Typical Worshipers|Page Number
Heironeous|god of valor|lawful good|Good, Law, War|paladin, fighter, monk|107
Moradin|god of the dwarves|lawful good|Earth, Good, Law, Protection|dwarf|107
Yondalla|goddess of the halflings|lawful good|Good, Law, Protection|halfling|108
Ehlonna|goddess of the woodlands|neutral good|Animal, Good, Plant, Sun|elf, gnome, half-elf, halfling, ranger, druid|107
Garl Glittergold|god of the gnomes|neutral good|Good, Protection, Trickery|gnome|107
Pelor|god of the sun|neutral good|Good, Healing, Strength, Sun|Ranger, bard|108
Corellon Larethian|god of the elves|chaotic good|Chaos, Good, Protection, War|elf, half-elf, bard|106
Kord|god of Strength|chaotic good|Chaos, Good, Luck, Strength|fighter, barbarian, rogue|107
Wee Jas|goddess of death and magic|lawful neutral|Death, Law, Magic|wizard, sorcerer|108
St. Cuthbert|god of retribution|lawful neutral|Destruction, Law, Protection, Strength|fighter, monk|108
Boccob|god of magic|neutral|Knowledge, Magic, Trickery|wizard, sorcerer, sage|106
Fharlanghn|god of roads|neutral|Luck, Protection, Travel|bard|107
Obad-Hai|god of nature|neutral|Air, Animal, Earth, Fire, Plant, Water|druid, barbarian, ranger|108
Olidammara|god of thieves|chaotic neutral|Chaos, Luck, Trickery|rogue, bard, thief|108
Hextor|god of tyranny|lawful evil|Destruction, Evil, Law, War|fighter, monk|107
Nerull|god of death|neutral evil|Death, Evil, Trickery|wizard, rogue|108
Vecna|god of secrets|neutral evil|Evil, Knowledge, Magic|wizard, sorcerer, rogue|108
Erythnul|god of slaughter|chaotic evil|Chaos, Evil, Trickery, War|fighter, barbarian, rogue|107
Gruumsh|god of the orcs|chaotic evil|Chaos, Evil, Strength, War|half-orc, orc|107
