id,slug,name,description,summary,displayInCharacterSheet
1,class-skill,Class Skill,"Holds class skills, this description should never be displayed!",,true
2,class-proficiency,Class Proficiency,"Holds class proficiencies, this description should never be displayed!",,true
3,automaticlanguage,Automatic Language,"Holds racial automatic languages, this discription should never be displayed!",,true
4,bonuslanguage,Bonus Language,"Holds racial bonus languages, this discription should never be displayed!",,true
5,race-ability-adjustment,Ability Adjustment,"Holds racial ability adjustments, this discription should never be displayed!",,true
6,companion-benefit,Companion Benefits,Benefits granted by companions,,true
7,alignedspells,"Chaotic, Evil, Good, and Lawful Spells","**Chaotic, Evil, Good, and Lawful Spells:** A [var: classname] can’t cast spells of an alignment opposed to their own or their deity’s (if they have one). For example, a good [var: classname] (or a neutral [var: classname] of a good deity) cannot cast evil spells. Spells associated with particular alignments are indicated by the chaos, evil, good, and law descriptors in their spell descriptions.",,true
8,barbarianex,Ex-Barbarians,"**Ex-Barbarians:** A barbarian who becomes lawful loses the ability to rage and cannot gain more levels as a barbarian. He retains all the other benefits of the class (damage reduction, fast movement, trap sense, and uncanny dodge).",,true
9,bardarmorprof,Light Armor Spellcasting,"**Light Armor Spellcasting:** Because the somatic components required for bard spells are relatively simple, a bard can cast bard spells while wearing light armor without incurring the normal arcane spell failure  chance. However, like any other arcane spellcaster, a bard wearing medium or heavy armor or using a shield incurs a chance of arcane spell failure if the spell in question has a somatic component (most do). A multiclass bard still incurs the normal arcane  spellfailure chance for arcane spells received from other classes.",,true
12,bardcountersong,Countersong,"*Countersong (Su):* A bard with 3 or more ranks in a Perform skill can use his music or poetics to counter magical effects that depend on sound (but not spells that simply have verbal components). Each round of the countersong, he makes a Perform check. Any creature within 30 feet of the bard (including the bard himself ) that is affected by a sonic or language-dependent magical attack (such as a sound burst or command spell) may use the bard’s Perform check result in place of its saving throw if, after the saving throw is rolled, the Perform check result proves to be higher. If a creature within range of the countersong is already under the effect of a noninstantaneous sonic or language-dependent magical attack, it gains another saving throw against the effect each round it hears the countersong, but it must use the bard’s Perform check result for the save. Countersong has no effect against effects that don’t allow saves. The bard may keep up the countersong for 10 rounds.",,true
15,bardex,Ex-Bards,"**Ex-Bards:** A bard who becomes lawful in alignment cannot progress in levels as a bard, though he retains all his bard abilities.",,true
18,bardfascinate,Fascinate,"*Fascinate (Sp):* A bard with 3 or more ranks in a Perform skill can use his music or poetics to cause one or more creatures to become fascinated with him. Each creature to be fascinated must be within 90 feet, able to see and hear the bard, and able to pay attention to him. The bard must also be able to see the creature. The distraction of a nearby combat or other dangers prevents the ability from working. For every three levels a bard attains beyond 1st, he can target one additional creature with a single use of this ability (two at 4th level, three at 7th level, and so on).

To use the ability, a bard makes a Perform check. His check result is the DC for each affected creature’s Will save against the effect. If a creature’s saving throw succeeds, the bard cannot attempt to fascinate that creature again for 24 hours. If its saving throw fails, the creature sits quietly and listens to the song, taking no other actions, for as long as the bard continues to play and concentrate (up to a maximum of 1 round per bard level). While fascinated, a target takes a -4 penalty on skill checks made as reactions, such as Listen and Spot checks. Any potential threat requires the bard to make another Perform check and allows the creature a new saving throw against a DC equal to the new Perform check result. Any obvious threat, such as someone drawing a weapon, casting a spell, or aiming a ranged weapon at the target, automatically breaks the effect. Fascinate is an enchantment (compulsion), mind affecting ability.",,true
