Domain|Deities|DS1|DS2|DS3|DS4|DS5|DS6|DS7|DS8|DS9|Page Number
Animal|Ehlonna, Obad-Hai|Calm Animals|Hold Animal|Dominate Animal|Summon Nature's Ally IV|Commune with Nature|Antilife Shell|Animal Shapes|Summon Nature's Ally VIII|Shapechange|186
Chaos|Corellon Larethian, Erythnul, Gruumsh, Kord, Olidammara|Protection from Law|Shatter|Magic Circle against Law|Chaos Hammer|Dispel Law|Animate Objects|Word of Chaos|Cloak of Chaos|Summon Monster IX|186
Death|Nerull, Wee Jas|Cause Fear|Death Knell|Animate Dead|Death Ward|Slay Living|Create Undead|Destruction|Create Greater Undead|Wail of the Banshee|186
Destruction|St. Cuthbert, Hextor|Inflict Light Wounds|Shatter|Contagion|Inflict Critical Wounds|Inflict Light Wounds, Mass|Harm|Disintegrate|Earthquake|Implosion|186
Earth|Moradin, Obad-Hai|Magic Stone|Soften Earth and Stone|Stone Shape|Spike Stones|Wall of Stone|Stoneskin|Earthquake|Iron Body|Elemental Swarm|186
Evil|Erythnul, Gruumsh, Hextor, Nerull, Vecna|Protection from Good|Desecrate|Magic Circle against Good|Unholy Blight|Dispel Good|Create Undead|Blasphemy|Unholy Aura|Summon Monster IX|186
Fire|Obad-Hai|Burning Hands|Produce Flame|Resist Energy|Wall of Fire|Fire Shield|Fire Seeds|Fire Storm|Incendiary Cloud|Elemental Swarm|187
Good|Corellon Larethian, Ehlonna, Garl Glittergold, Heironeous, Kord, Moradin, Pelor, Yondalla|Protection from Evil|Aid|Magic Circle against Evil|Holy Smite|Dispel Evil|Blade Barrier|Holy Word|Holy Aura|Summon Monster IX|187
Healing|Pelor|Cure Light Wounds|Cure Moderate Wounds|Cure Serious Wounds|Cure Critical Wounds|Cure Light Wounds, Mass|Heal|Regenerate|Cure Critical Wounds, Mass|Heal, Mass|187
Knowledge|Boccob, Vecna|Detect Secret Doors|Detect Thoughts|Clairaudience/Clairvoyance|Divination|True Seeing|Find the Path|Legend Lore|Discern Location|Foresight|187
Law|St. Cuthbert, Heironeous, Hextor, Moradin, Wee Jas, Yondalla|Protection from Chaos|Calm Emotions|Magic Circle against Chaos|Order's Wrath|Dispel Chaos|Hold Monster|Dictum|Shield of Law|Summon Monster IX|187
Luck|Fharlanghn, Kord, Olidammara|Entropic Shield|Aid|Protection from Energy|Freedom of Movement|Break Enchantment|Mislead|Spell Turning|Moment of Prescience|Miracle|187
Magic|Boccob, Vecna, Wee Jas|Nystul's Magic Aura|Identify|Dispel Magic|Imbue with Spell Ability|Spell Resistance|Antimagic Field|Spell Turning|Protection from Spells|Mordenkainen's Disjunction|188
Plant|Ehlonna, Obad-Hai|Entangle|Barkskin|Plant Growth|Command Plants|Wall of Thorns|Repel Wood|Animate Plants|Control Plants|Shambler|188
Protection|Corellon Larethian, St. Cuthbert, Fharlanghn, Garl Glittergold, Moradin, Yondalla|Sanctuary|Shield Other|Protection from Energy|Spell Immunity|Spell Resistance|Antimagic Field|Repulsion|Mind Blank|Prismatic Sphere|188
Strength|St. Cuthbert, Gruumsh, Kord, Pelor|Enlarge Person|Bull's Strength|Magic Vestment|Spell Immunity|Righteous Might|Stoneskin|Bigby's Grasping Hand|Bigby's Clenched Fist|Bigby's Crushing Hand|188
Sun|Ehlonna, Pelor|Endure Elements|Heat Metal|Searing Light|Fire Shield|Flame Strike|Fire Seeds|Sunbeam|Sunburst|Prismatic Sphere|188
Travel|Fharlanghn|Longstrider|Locate Object|Fly|Dimension Door|Teleport|Find the Path|Teleport, Greater|Phase Door|Astral Projection|188
Trickery|Boccob, Erythnul, Garl Glittergold, Olidammara, Nerull|Disguise Self|Invisibility|Nondetection|Confusion|False Vision|Mislead|Screen|Polymorph Any Object|Time Stop|189
War|Corellon Larethian, Erythnul, Gruumsh, Heironeous, Hextor|Magic Weapon|Spiritual Weapon|Magic Vestment|Divine Power|Flame Strike|Blade Barrier|Power Word Blind|Power Word Stun|Power Word Kill|189
Water|Obad-Hai|Obscuring Mist|Fog Cloud|Water Breathing|Control Water|Ice Storm|Cone of Cold|Acid Fog|Horrid Wilting|Elemental Swarm|189
